id;reference;motif;montant;temps;date;deleted
1;bypassing optical;installation;18651;Refined Rubber Gloves Algerian Dinar Clothing;2020-06-02;true
2;turn-key;Sausages;69093;synthesize Creative;2020-06-02;true
3;bandwidth azure;SMS Enhanced;65998;parsing;2020-06-02;true
4;content-based Executive;Customer Human deposit;33902;cross-media;2020-06-01;true
5;SCSI drive THX;Unbranded Cheese Dynamic;60642;Tools Unbranded;2020-06-02;true
6;clear-thinking;Latvia;69189;invoice Devolved;2020-06-02;false
7;Bedfordshire;navigate;64963;calculating withdrawal Nevada;2020-06-02;true
8;withdrawal Ergonomic;Strategist target;89204;withdrawal cross-platform Borders;2020-06-02;true
9;CSS Re-contextualized;local Shoes;64547;Chips;2020-06-01;false
10;uniform PCI back up;Tactics architectures Planner;96361;SDD disintermediate reinvent;2020-06-01;false
