id;reference;date_signature;date_debut_prevu;date_fin_prevu;candidat_lot_id;caution_candidat_lot_id;deleted
1;mobile Fish;2020-06-01;2020-06-02;2020-06-02;15601;44583;false
2;Practical Fresh Pants;2020-06-02;2020-06-02;2020-06-02;65088;2058;false
3;transmitter Implementation Electronics;2020-06-01;2020-06-02;2020-06-02;30424;61165;true
4;web-readiness;2020-06-02;2020-06-02;2020-06-02;39986;13949;false
5;Coordinator;2020-06-02;2020-06-02;2020-06-02;78517;61838;false
6;Cambridgeshire Mississippi;2020-06-02;2020-06-01;2020-06-02;68030;17052;false
7;Automotive;2020-06-01;2020-06-01;2020-06-02;80839;38541;false
8;Intelligent;2020-06-02;2020-06-02;2020-06-02;68326;12203;true
9;backing up Salad;2020-06-02;2020-06-02;2020-06-02;66252;75536;false
10;Costa Rica Mayotte;2020-06-02;2020-06-02;2020-06-01;84228;77513;false
