id;type;etat;date_debut;delai;libelle
1;SERVICE;INITIAL;2020-09-01;45924;seamless Metal deposit
2;SERVICE;ENCOURS;2020-08-31;52475;web-readiness
3;COMMANDE;INITIAL;;9060;Savings Account syndicate Planner
4;COMMANDE;TERMINE;;80839;access Intelligent
5;SERVICE;ENCOURS;;18223;copy convergence
6;COMMANDE;TERMINE;;93949;Chief Credit Card Account
7;SERVICE;SUSPENDU;;53969;Louisiana Specialist Home Loan Account
8;SERVICE;TERMINE;;77224;orange Books
9;SERVICE;SUSPENDU;;91495;generating Highway Ergonomic
10;SERVICE;ENCOURS;;11959;bus synthesize Idaho
