id;motif;suspendu;reprise;date_suspendu;date_reprise;deleted
1;e-enable Communications capacitor;false;false;2020-06-02;2020-06-02;true
2;Tactics;true;false;2020-06-01;2020-06-02;true
3;Louisiana Specialist Home Loan Account;false;false;2020-06-02;2020-06-01;false
4;Industrial;false;true;2020-06-02;2020-06-02;false
5;Jewelery;false;true;2020-06-02;2020-06-01;true
6;Checking Account Identity deposit;true;true;2020-06-01;2020-06-02;false
7;Ergonomic;false;false;2020-06-02;2020-06-02;true
8;New York tangible Mississippi;false;false;2020-06-01;2020-06-02;true
9;hard drive Robust Networked;false;true;2020-06-02;2020-06-02;false
10;partnerships;false;false;2020-06-01;2020-06-02;false
